src_person_id,dst_university_id,src_person,dst_university
3,501,Abiy Ahmed,Đại học Greenwich
10,540,Abdullah Gül,Đại học Istanbul
10,470,Abdullah Gül,Đại học Exeter
11,406,Adly Mansour,Đại học Cairo
11,336,Adly Mansour,École nationale d'administration
12,53,Abhisit Vejjajiva,Eton College
12,751,Abhisit Vejjajiva,Đại học Thammasat
13,511,Ahmad Massoud,Đại học Hoàng đế Luân Đôn
13,579,Ahmad Massoud,Đại học London
16,348,Alain Poher,École nationale supérieure des mines de Paris
16,148,Alain Poher,Sciences Po
17,745,Alar Karis,Đại học Tartu
19,731,Abe Shinzō,Đại học Seikei
19,640,Abe Shinzō,Đại học Nam California
20,148,Alain Juppé,Sciences Po
20,336,Alain Juppé,École nationale d'administration
22,22,Alan García,Complutense University of Madrid
22,654,Alan García,Đại học Pantheon-Sorbonne
23,458,Alassane Ouattara,Đại học Drexel
23,690,Alassane Ouattara,Đại học Pennsylvania
24,310,Alben W. Barkley,University of Virginia
26,581,Alenka Bratušek,Đại học Ljubljana
27,482,Aleksander Kwaśniewski,Đại học Gdańsk
28,729,Alex Salmond,Đại học St Andrews
29,798,Alcide De Gasperi,Đại học Viên
30,401,Alberto Fernández,Đại học Buenos Aires
31,561,Albert Speer,Đại học Kỹ thuật Berlin
31,566,Albert Speer,Đại học Kỹ thuật München
33,659,Alexander Schallenberg,Đại học Panthéon-Assas
34,477,Albert Gallatin,Đại học Geneva
35,665,Alexander Stubb,Đại học Paris-Sorbonne
35,188,Alexander Stubb,Trường Kinh tế London
36,743,Alberto Fujimori,Đại học Strasbourg
37,664,Alexandre Millerand,Đại học Paris
38,798,Alexander Van der Bellen,Đại học Viên
39,53,Alec Douglas-Home,Eton College
41,572,Alfred Rosenberg,Đại học Kỹ thuật Quốc gia Moskva Bauman
42,364,Anders Fogh Rasmussen,Đại học Aarhus
43,645,Amy Coney Barrett,Đại học Notre Dame
44,614,Alfred Deakin,Đại học Melbourne
45,736,Andreas Norlén,Đại học Stockholm
45,576,Andreas Norlén,Đại học Linköping
47,26,Andrew Giuliani,Duke University
47,484,Andrew Giuliani,Đại học Duke
49,745,Andrus Ansip,Đại học Tartu
53,683,Allen Dulles,Đại học Princeton
53,35,Allen Dulles,Cử nhân Nghệ thuật
53,480,Allen Dulles,Đại học George Washington
54,188,Amartya Sen,Trường Kinh tế London
54,433,Amartya Sen,Đại học Cornell
54,405,Amartya Sen,Đại học Calcutta
54,399,Amartya Sen,"Đại học California, Berkeley"
56,786,Andrés Manuel López Obrador,Đại học Tự trị Quốc gia México
58,393,Alexandria Ocasio-Cortez,Đại học Boston
58,35,Alexandria Ocasio-Cortez,Cử nhân Nghệ thuật
59,508,Anneli Jäätteenmäki,Đại học Helsinki
60,840,Andy Beshear,Đại học Virginia
62,53,Anthony Eden,Eton College
63,741,Anthony Albanese,Đại học Sydney
64,631,Antonio Salandra,Đại học Napoli Federico II
68,567,Angela Merkel,Đại học Leipzig
69,508,Antti Tulenheimo,Đại học Helsinki
70,440,Antony Blinken,Đại học Columbia
71,518,Antonin Scalia,Đại học Georgetown
71,205,Antonin Scalia,Trường Luật Harvard
71,840,Antonin Scalia,Đại học Virginia
71,426,Antonin Scalia,Đại học Chicago
72,585,António Costa,Đại học Lisboa
74,585,António Guterres,Đại học Lisboa
75,664,Armand Fallières,Đại học Paris
80,440,Ashraf Ghani,Đại học Columbia
80,537,Ashraf Ghani,Đại học Johns Hopkins
81,509,Ariel Sharon,Đại học Hebrew của Jerusalem
83,53,"Arthur Wellesley, Công tước thứ 1 xứ Wellington",Eton College
85,417,Ardem Patapoutian,"Đại học California, Los Angeles"
85,334,Ardem Patapoutian,Viện Công nghệ California
86,433,Anthony Fauci,Đại học Cornell
86,429,Anthony Fauci,Đại học Colgate
87,837,Aung San,Đại học Yangon
88,639,Arthur C. Clarke,Đại học Nhà vua Luân Đôn
90,189,Asō Tarō,Trường Kinh tế và Khoa học Chính trị London
90,224,Asō Tarō,Trường Kinh tế và Khoa học Chính trị Luân Đôn
91,366,Asa Hutchinson,Đại học Arkansas
94,690,Beau Biden,Đại học Pennsylvania
95,531,Beata Szydło,Đại học Jagiellonia
96,205,Barney Frank,Trường Luật Harvard
97,35,Ben Carson,Cử nhân Nghệ thuật
97,632,Ben Carson,Đại học Michigan
98,434,Bayanqolu,Đại học Cát Lâm
99,678,"Benigno Aquino, Jr.",Đại học Philippines
100,712,Ban Ki-moon,Đại học Quốc gia Seoul
101,508,Bengt Holmström,Đại học Helsinki
102,454,Bashar al-Assad,Đại học Damascus
103,579,Aung San Suu Kyi,Đại học London
103,560,Aung San Suu Kyi,Đại học Kyoto
108,604,Benjamin Harrison,Đại học Miami
109,668,Bill de Blasio,Đại học New York
109,440,Bill de Blasio,Đại học Columbia
110,440,Bhimrao Ambedkar,Đại học Columbia
110,224,Bhimrao Ambedkar,Trường Kinh tế và Khoa học Chính trị Luân Đôn
112,598,Bertil Ohlin,Đại học Lund
112,736,Bertil Ohlin,Đại học Stockholm
112,430,Bertil Ohlin,Đại học Copenhagen
113,605,Bettino Craxi,Đại học Milan
115,291,Bernie Sanders,University of Chicago
117,35,Bob Woodward,Cử nhân Nghệ thuật
118,600,Bohuslav Sobotka,Đại học Masaryk
119,518,Bill Clinton,Đại học Georgetown
119,208,Bill Clinton,Trường Dịch vụ Đối ngoại
119,366,Bill Clinton,Đại học Arkansas
120,778,Bob Hawke,Đại học Tây Úc
121,433,Bill Gates,Đại học Cornell
121,834,Bill Gates,Đại học Waseda
121,764,Bill Gates,Đại học Thanh Hoa
121,416,Bill Gates,Đại học Bắc Kinh
122,690,Bongbong Marcos,Đại học Pennsylvania
123,683,Bob Taft,Đại học Princeton
125,391,Boris Tadić,Đại học Beograd
126,581,Borut Pahor,Đại học Ljubljana
127,406,Boutros Boutros-Ghali,Đại học Cairo
127,654,Boutros Boutros-Ghali,Đại học Pantheon-Sorbonne
130,798,Brigitte Bierlein,Đại học Viên
132,802,Bronisław Komorowski,Đại học Warszawa
133,433,Benjamin Netanyahu,Đại học Cornell
133,23,Benjamin Netanyahu,Cornell University
136,416,Bạc Hy Lai,Đại học Bắc Kinh
136,202,Bạc Hy Lai,Trường Harrow
136,440,Bạc Hy Lai,Đại học Columbia
137,53,Boris Johnson,Eton College
137,440,Boris Johnson,Đại học Columbia
142,519,Brian Kemp,Đại học Georgia
143,368,Calvin Coolidge,Đại học Amherst
143,791,Calvin Coolidge,Đại học Vermont
144,267,Bùi Kim Giai,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc
145,736,Carl Bildt,Đại học Stockholm
148,579,Chaim Herzog,Đại học London
149,499,Carlos Prío Socarrás,Đại học Havana
154,664,Carole Bouquet,Đại học Paris
156,440,Barack Obama,Đại học Columbia
156,35,Barack Obama,Cử nhân Nghệ thuật
156,205,Barack Obama,Trường Luật Harvard
156,426,Barack Obama,Đại học Chicago
157,148,Chandrika Kumaratunga,Sciences Po
157,590,Chandrika Kumaratunga,Đại học Luân Đôn
158,35,Charles Joseph Bonaparte,Cử nhân Nghệ thuật
158,205,Charles Joseph Bonaparte,Trường Luật Harvard
158,441,Charles Joseph Bonaparte,Đại học Công giáo Hoa Kỳ
158,645,Charles Joseph Bonaparte,Đại học Notre Dame
159,369,Charles Michel,Đại học Amsterdam
162,751,Chavarat Charnvirakul,Đại học Thammasat
163,712,Cho Kuk,Đại học Quốc gia Seoul
163,399,Cho Kuk,"Đại học California, Berkeley"
164,798,Christian Stocker,Đại học Viên
166,766,Choi Kyu-hah,Đại học Tsukuba
167,664,Charles-Maurice de Talleyrand-Périgord,Đại học Paris
168,803,Christian Kern,Đại học Wien
171,343,Charles de Gaulle,École spéciale militaire de Saint-Cyr
172,224,Christopher A. Pissarides,Trường Kinh tế và Khoa học Chính trị Luân Đôn
173,35,Charlie Baker,Cử nhân Nghệ thuật
174,683,Christopher A. Sims,Đại học Princeton
174,408,Christopher A. Sims,Đại học California tại Berkeley
174,606,Christopher A. Sims,Đại học Minnesota
175,408,Christopher Stevens (đại sứ),Đại học California tại Berkeley
175,411,Christopher Stevens (đại sứ),Đại học California
176,764,Chu Tiểu Xuyên,Đại học Thanh Hoa
178,401,Che Guevara,Đại học Buenos Aires
178,786,Che Guevara,Đại học Tự trị Quốc gia México
179,627,Chuck Hagel,Đại học Nebraska tại Omaha
180,764,Chu Dung Cơ,Đại học Thanh Hoa
185,751,Chuan Leekpai,Đại học Thammasat
186,779,Claudia Sheinbaum,Đại học Tự chủ Quốc gia Mexico
187,224,Clement Attlee,Trường Kinh tế và Khoa học Chính trị Luân Đôn
188,480,Colin Powell,Đại học George Washington
190,649,D. H. Lawrence,Đại học Nottingham
191,800,Dag Hammarskjöld,Đại học Uppsala
191,736,Dag Hammarskjöld,Đại học Stockholm
194,649,Clive Granger,Đại học Nottingham
196,224,Daron Acemoğlu,Trường Kinh tế và Khoa học Chính trị Luân Đôn
198,393,Corazon Aquino,Đại học Boston
198,834,Corazon Aquino,Đại học Waseda
198,678,Corazon Aquino,Đại học Philippines
199,481,Chu Ân Lai,Đại học Edinburgh
199,249,Chu Ân Lai,Trường quân sự Hoàng Phố
200,645,Condoleezza Rice,Đại học Notre Dame
200,440,Condoleezza Rice,Đại học Columbia
204,312,Dean Heller,University of Southern California
205,635,David Lloyd Johnston,Đại học McGill
206,35,Dean Acheson,Cử nhân Nghệ thuật
